headline,source
"leonard allan cure, freed after a wrongful conviction, is shot dead in a traffic stop",NPR
how a millennial who quit her 9-to-5 job now has her former employer as a client — and makes more money,Business Insider
ai content editing is the hot freelance side hustle as businesses and individuals look to give their chatgpt content a 'human touch',Business Insider
hybrid workers spend an average of $51 a day when they go into the office,Business Insider
a fake job listing for an 'owl trainer' for the duolingo mascot has gone viral. it includes hilarious tasks like bathing the bird in evian water and coordinating his nobu meals.,Business Insider
poverty is rising faster in american suburbs as lower-income people are pushed out of big cities,Business Insider
"apple's center of gravity is china, not cupertino",Business Insider
a 'godfather of ai' says he's worried about ai eventually manipulating humans,Business Insider
women face a 'broken rung' early on in the corporate ladder and are missing out on their first big promotions,Business Insider
smith & wesson celebrates new headquarters opening in gun-friendly tennessee,ABC News
another sign that us job market remains hot after unexpected august job openings rise,ABC News
weekly applications for us jobless benefits tick up slightly,ABC News
11 of the biggest bombshells from sam bankman-fried's ftx fraud trial,Business Insider
applications for us jobless benefits fall to lowest level in more than 8 months,ABC News
"half of all skills will be outdated within two years, study suggests",Forbes
the marketing failure that's going to kill us all,Business Insider
‘from friend to enemy’: palestinians in israel suspended from jobs over war,Al Jazeera English
"palestinian citizens of israel have been assaulted and harassed in the wake of hamas attacks, activist says",Business Insider
3 movies like dumb money that you need to watch,Digital Trends
"new york city has lost 100,000 apartments because people in rich neighborhoods keep combining units",Business Insider
white house unveils 31 u.s. tech hubs to boost industry,Digital Trends
some americans are secretly working multiple remote jobs. bosses shouldn't be worried about it.,Business Insider
worried ai will take your job? the history of microsoft excel should give you hope,Business Insider
"u.s. economy adds 336,000 jobs in september, unemployment rate unchanged at 3.8%",Deadline
5 movies leaving hulu in october you have to watch,Digital Trends
"everything you need to track your movies, music, books, and more",The Verge
the internet is thirsty for 'twilight'—again,Wired
16 burning questions we have after ahsoka,Gizmodo.com
"untouched 'back to the future' delorean discovered collecting dust in wisconsin barn, report says",Business Insider
"the sad, lonely secret behind america's never-ending wave of marvel movies and disney reboots",Business Insider
looking for 'nomance': study finds teens want less sex in their tv and movies,NPR
put megan thee stallion in more movies now,Time
finding the essence of elvis in two very different movies,Time
why cg fire looks terrible even in high-budget movies,Boing Boing
"things are going great at netflix, so it's raising prices",Gizmodo.com
"all the alien movies, ranked",Digital Trends
the latest nail in dvds' coffin is here,Business Insider
2023 is one big costume party,Time
"the 10 best movies of 1973, ranked",Digital Trends
"all the exorcist movies & tv shows, ranked",Digital Trends
"7 coolest deaths in horror movies, ranked",Digital Trends
7 most gruesome deaths in action movies,Digital Trends
5 movies that deserve more hate,Digital Trends
take a trip to tom devlin's monster museum,Boing Boing
5 seth rogen movies you should watch right now,Digital Trends
is final destination the best horror franchise we have right now?,Digital Trends
3 underrated john cena movies you must watch now,Digital Trends
3 best horror movies on peacock to watch this halloween,Digital Trends
5 best horror movies on hulu to watch this halloween,Digital Trends
3 movies leaving peacock in october you have to watch,Digital Trends
"10 best horror movies of the 1980s, ranked",Digital Trends
5 great robin williams movies you should watch right now,Digital Trends
hollywood strike: talks between actors and studios break down,BBC News
3 best horror movies on paramount+ to watch this halloween,Digital Trends
5 underrated robert de niro movies you should check out,Digital Trends
"10 best horror movies of the 1970s, ranked",Digital Trends
5 reese witherspoon movies you should watch in november,Digital Trends
"the 5 best duos in action movies, ranked",Digital Trends
"a movie theater staffer describes what it was like to work taylor swift's eras tour film premiere, which was so loud it blew out 2 amps",Business Insider
3 sci-fi movies on peacock you need to watch in october,Digital Trends
5 great movies starring wrestlers you have to watch right now,Digital Trends
this underrated james wan horror movie is on hulu in october. here’s why you should watch it,Digital Trends
squid game and parasite composer reveals secret to award-winning music,BBC News
5 movies on hulu that are perfect to watch in the fall,Digital Trends
3 underrated movies on tubi you need to watch in october,Digital Trends
3 sci-fi movies on tubi you need to watch in october,Digital Trends
this 2019 stephen king movie is underrated. here’s why you should watch it,Digital Trends
don’t miss these 6 fall 2023 movies that are flying under the radar,Digital Trends
how marvel lost its way,Time
5 netflix movies that are perfect to watch in the fall,Digital Trends
don’t miss these 5 movies leaving max in october you have to watch right now,Digital Trends
3 great pg-13 horror movies to check out if you like the five nights at freddy’s movie,Digital Trends
3 action movies on hulu you need to watch in october,Digital Trends
"5 best action movie directors, ranked",Digital Trends
upcoming action movies: new movie release dates in 2023 and 2024,Digital Trends
5 movies like five nights at freddy’s you should watch right now,Digital Trends
taylor swift and beyoncé prove yet again why they're some of the world's best businesswomen,Business Insider
how a new york artist gave birth to james bond's 007 logo,Boing Boing
halloween belongs to david s. pumpkins,Boing Boing
editor seamlessly inserts toy story's woody into red dead redemption 2,Boing Boing
3 edgar allan poe horror movies to watch after netflix’s fall of the house of usher,Digital Trends
5 matthew perry movies and tv shows you should watch besides friends,Digital Trends
percy jackson's creator is way more excited about the series than the movies,Gizmodo.com
3 great action movies on tubi you need to watch in october,Digital Trends
3 concert movies to watch after taylor swift: the eras concert,Digital Trends
3 action movies on netflix you need to watch in october,Digital Trends
more movies face delays as studios and sag-aftra continue negotiation,Gizmodo.com
5 best sci-fi movies from the past 5 years you should watch right now,Digital Trends
stop! and watch these 3 movies leaving netflix by november 1,Digital Trends
jonathan majors' trial for assault and harassment charges rescheduled again,NPR
dig dana gould's monstrously long halloween podcast,Boing Boing
i test chromebooks for a living and this is the one i'm buying for myself,Android Central
ahsoka’s finale gets by on magic and mythology,The Verge
check out one of the great sports movies ever made before it leaves prime video next week,Digital Trends
apple’s gamble with killers of the flower moon,ReadWrite
netflix is planning to open entertainment-focused stores,Digital Trends
graphic designer makes 75 posters for one game,Boing Boing
don’t let these 3 october hidden streaming movie gems fly under your radar,Digital Trends
anatomy of a fall is an elegantly constructed thriller anchored by a riveting performance,Time
"was ""book of shadows: blair witch 2"" good, actually?",Boing Boing
"7 best action movie scores, ranked",Digital Trends
downright freaky halloween costumes from a rural scotland island in the 1930s (video),Boing Boing
"hollywood writers begin voting to approve contract, end dispute",ABC News
platinum dunes polished horror’s grimy past for a new generation,Digital Trends
this 40-inch smart tv can be yours for $138 if you’re quick enough,Digital Trends
this 2017 tom cruise thriller is the popular movie on netflix. here’s why you should watch it,Digital Trends
the exorcist: believer director on making a modern possession movie,Time
how the eras tour movie is shaping up for a historic box office run,Time
paramount put mean girls on tiktok. writers are worried,Time
dicaprio vs. de niro: who is the better martin scorsese collaborator?,Digital Trends
"bill gates backs likewise, an early-state startup and launches pix, a chatbot",ReadWrite
unwrap the magic of a refurbished ms surface 3 this holiday season for only $416,Boing Boing
who is horror’s best scream queen?,Digital Trends
barbecue your favorite meals no matter the season with this $25 indoor grill!,Boing Boing
horror games: is the genre in a golden age?,BBC News
the ending of killers of the flower moon is astonishing,Time
prep-school drama the holdovers gives off a fake warmth,Time
"new marvel book designates mcu as earth-616, creating more multiversal headaches",Gizmodo.com
best 70-inch tv deals: get a big screen for sports for $450,Digital Trends
"7 biggest flaws of the most popular movie franchises, ranked",Digital Trends
will there be a disney+ black friday deal? what to expect in 2023,Digital Trends
dc's elseworlds imprint is making a multiversal comeback,Gizmodo.com
"58-inch 4k tv price slashed to $268, and it’s selling like hotcakes",Digital Trends
50+ funko pops just had their prices slashed for prime day — from $5,Digital Trends
"fair play review: a cutting, messy thriller",Digital Trends
dicks: the musical confuses making comedy with inflicting it on an audience,Time
new research reveals why people are afraid of clowns,Boing Boing
second uk police force looking into allegations of sexual offenses by russell brand,ABC News
3 underrated horror sequels that deserve to be watched again,Digital Trends
hasbro's next star wars toys are giving us some phantom menace classics,Gizmodo.com
david gordon green on finding the truth inthe exorcist: believer's horror,Gizmodo.com
3 rom-coms on netflix you need to watch in october,Digital Trends
3 tv shows on tubi you should watch in october,Digital Trends
dune is on netflix in october. here’s why you should watch this 2021 sci-fi classic,Digital Trends
what rewatching crossroads reveals about britney spears,Time
u2’s the edge on the sphere’s opening night: ‘this is definitely working’,Wired
qualcomm turns to wi-fi to take wireless earbuds and headphones to the next level,The Verge
what happens when you use music reviews as prompts for ai generated music?,Boing Boing
the pixel buds pro's airpods-like conversation detection finally arrives,Android Central
video shows the exact moment a group of hamas paragliders descended on a desert music festival in israel,Business Insider
qualcomm's upcoming s7 and s7 pro chips will bring wi-fi to your audio peripherals,Gizmodo.com
shani louk's mother says they can't have a 'real funeral' for her daughter because they don't have her body,Business Insider
"shani louk's mother says 'at least she didn't suffer' after the 23-year-old was confirmed dead, weeks after she was last seen being paraded by hamas through gaza",Business Insider
"a woman taken hostage at the israeli music festival didn't tell her family she was going so they wouldn't worry about her, her mom says",Business Insider
disturbing video shows a 25-year-old woman begging hamas fighters not to kill her as she's taken hostage and driven into gaza on a motorbike,Business Insider
spotify launches hub for artists’ merch,The Verge
"german-israeli shani louk is confirmed dead, 3 weeks after hamas captured her and paraded her through gaza in her underwear",Business Insider
"get the most unique, immersive listening experience with these $38 wireless neckband speakers!",Boing Boing
"""the best in redpilled music"" involves ""truly cursed"" amount of autotune and feels like ""injecting air""",Boing Boing
how the american suburbs created bruce springsteen and billy joel,Time
elevated your audio with the sonos era 300 speaker — and get three months of apple music for free!,Boing Boing
"the pixel buds pro get new colors and features, including conversation detection",Android Central
spotify's 'supremium' tier might arrive sooner than you think,Android Central
"bbc unveils the moog synthesizer – ""the future of music"" in 1969",Boing Boing
ain't it fun: new graphic novel reveals the untold story of cleveland's punk music scene,Boing Boing
"space mountain, with the lights on",Boing Boing
what is a network music streamer and why do you need one?,Digital Trends
"father of 2 girls at israeli music festival said he doesn't know their whereabouts, fears they are 'lying in a ditch' somewhere in gaza",Business Insider
a disabled israeli teenager with muscular dystrophy is a hostage held by hamas in gaza after she was abducted from the supernova music festival,Business Insider
best network music streamers 2023: make your hi-fi smarter,Digital Trends
pixel 8 series to receive support for lossless audio via usb in a 'later release',Android Central
"a teen girl swings in her backyard, unaware of a bear in her yard — until she gets a warning call (video)",Boing Boing
horrors emerge from hamas infiltration of israel on gaza border,ABC News
music festival survivor details escape from hamas: 'they hunted us for hours',ABC News
"a cnn correspondent choked up on air describing the bloodstained walls and floors of a bunker where people were shot 'in calculated, cold blood' by hamas militants",Business Insider
this $250 bluetooth record player is a great gift for the music lover in your life (or yourself!),Boing Boing
pixel watch 2 leak reveals a very welcome feature for fitness enthusiasts,Android Central
"spotify adds subscribers, still hasn’t added high-res audio",Digital Trends
qualcomm’s snapdragon 8 gen 3 moves ai out of the cloud and onto your phone,The Verge
"generative ai needs tools to avoid copyright infringement, databricks' naveen rao says — or more companies could meet napster's fate",Business Insider
these are the cure founding drummer lol tolhurst's favorite records,Boing Boing
"descartes a kant's ""after destruction"" could be the best video you watch today",Boing Boing
"shani louk's grandma calls for her release from gaza, breaks into tears: video",Business Insider
"experience ""rubber soul"" anew with this bass-and-drums-only version",Boing Boing
"lara trump says her tom petty cover song is getting ""shadow banned"" — but no, it's just bad",Boing Boing
"okay, hear me out... these prime day deals on wireless earbuds are too good to pass up",Android Central
up first newsletter: maine shooter at large; support for humanitarian pause in gaza,NPR
fire draw near is a fascinating monthly podcast dedicated to the history of irish folk songs,Boing Boing
sharpen your piano skills at home: get a lifetime subscription to skoove's premium piano lessons for half price!,Boing Boing
"who wins this ""man-horse vs. goat"" drum-off? watch and see!",Boing Boing
how we chose the new class of next generation leaders,Time
"i spent 4 hours running for my life at the nova festival. a man in a white pickup truck rescued me, but i never learned what happened to him after he returned for more people.",Business Insider
save 15% when you elevate your listening experience with cowin headphones!,Boing Boing
"pixel watch, who? this is the wear os watch i'm buying before prime day ends",Android Central
kendrick lamar's pglang drops a limited-edition phone for minimalists,Android Central
billionaire grandpa bill gates shared an adorably geeky math-themed playlist,Business Insider
t-mobile decides it's a bad idea to anger its most loyal customers,Android Central
taylor swift’s ‘all you had to do was stay’ is criminally underrated,Time
"kanye west files trademark for ""yews""",Boing Boing
"my 51-year-old dad disappeared trying to rescue my sister after hamas launched its attack on israel. we traced his phone — but his whereabouts, and his fate, are a mystery.",Business Insider
south african singer tyla makes waves on tiktok with viral “water” dance challenge,Time
channel your inner jimi hendrix with these budget-friendly online guitar lessons!,Boing Boing
veteran vc and openai investor vinod khosla says he used chatgpt to write a rap for his daughter's wedding,Business Insider
ex-soldier fought off hamas and saved kibbutz neighbours,BBC News
turns out the amiga was powerful enough to run doom after all!,Boing Boing
oppo find n3 flip review: the right stuff,Android Central
retired israeli general who rescued his family under siege from hamas is being compared on social media to liam neeson's character in 'taken',Business Insider
i've made thousands of dollars writing trivia questions as a side gig. it helps me pay my rent and makes socializing so much easier.,Business Insider
sony’s best noise-canceling headphones just got a big discount,Digital Trends
israel formally declares war as leaders vow to wipe out hamas and take full control of gaza,Business Insider
israeli parents have been warned to take social media off of children's phones over fears of broadcasted hostage videos from hamas,Business Insider
leaked email shows an nvidia employee was one of the civilians kidnapped by hamas in a viral video,Business Insider
former 'apprentice' star omarosa says trump saves his 'worst' insults for women of color,Business Insider
city of orlando buys pulse nightclub property to build memorial to massacre victims,Time
how to connect bose headphones to an iphone,Digital Trends
"i tested 7 pairs of headphones for gym use, and this is what i'd recommend",Android Central
honor's on-device llm for the magic 6 draws knowledge from your media,Android Central
"britney spears' memoir is an angry, cautionary tale",BBC News
how would an israeli ground assault on gaza unfold?,BBC News
the welsh punk band scene in the 1980s,Boing Boing
california governor gavin newsom vetoes decriminalization of psychedelics and ban on caste discrimination,Boing Boing
"after death of player adam johnson, how dangerous is ice hockey?",BBC News
the unwavering confidence of deion sanders,Time
maryland judge andrew wilkinson shot and killed outside his home,BBC News
3 sports documentaries like kelce you should watch right now,Digital Trends
the founder of lululemon is spending $100 million to try to beat the super rare disease that's destroying his muscles,Business Insider
"magic johnson is now a billionaire, decades after turning down a nike deal that could have netted him $5b",Business Insider
the asian games revealed a new divide between south korea and the north,NPR
this 55-inch mini-led qled tv is discounted from $580 to $380 today,Digital Trends
ftc proposes new rule to shed light on concert ticket junk fees,Gizmodo.com
kim kardashian's $4 billion skims empire is selling body-hugging boxers and briefs to men,Business Insider
polar’s newest smartwatch could be a fitbit and garmin killer,Digital Trends
3 comedies on prime video you need to watch in october,Digital Trends
3 underrated shows on netflix you need to watch in october,Digital Trends
improve your workouts with this smartwatch with this smart buddy,Boing Boing
"ftx executives blew $8bn on real estate deals, donations to politicians, random ""endorsements"" and various other stupid things",Boing Boing
"ottawa's shane pinto suspended 41 games, becomes the 1st modern nhl player banned for gambling",ABC News
meetkai company intro’s ai metaverse nba store,ReadWrite
sportsengine play adds streaming video for parents and pros,Digital Trends
the miami marlins' kim ng is the first female gm to lead an mlb team to the playoffs,NPR
"matt gaetz used to brag about taking erectile dysfunction drugs with energy drinks 'so he could go all night,' says gop senator",Business Insider
the stunning oneplus 11r solar red is turning out to be the phone bargain of 2023,Android Central
prime day deal sends the tcl 40xl (2023) crashing to under $100,Android Central
faster-than-light 'quasiparticles' touted as futuristic light source,Gizmodo.com
"best steam deck accessories (2023): docks, battery, storage",Wired
why you should buy a chromebook this holiday season,Android Central
xreal debuts its air 2 and air 2 pro ar glasses with brighter displays and a lighter frame,Android Central
"santa clara's levi's stadium generated $2 billion for the local economy in 10 years, thanks to non-nfl events",Business Insider
oneplus open is finally here to take on galaxy z fold 5 with better design and cameras,Android Central
6 best telegram casinos & gambling bots in 2023,ReadWrite
boston celtics vs. new york knicks live stream: watch the nba for free,Digital Trends
magic johnson declared a billionaire by forbes,BBC News
breeders' cup contender practical move dies after a morning gallop at santa anita,ABC News
"india demands $12b from online gaming firms, cites tax evasion",ReadWrite
beckham is the most popular show on netflix now. here’s why you should watch it,Digital Trends
best waterproof smartwatches 2023,Android Central
researchers develop new model to advance equestrian research,Phys.Org
golden state warriors granted wnba expansion franchise to begin play in 2025,Time
taylor swift continues to make the nfl must-watch tv,Time
"dick butkus, legendary chicago bears linebacker, dies at 80",ABC News
"honor's on a roll with foldable phones, and the magic vs2 is its latest",Android Central
"florida boy, 11, shoots teenagers after row at american football practice",BBC News
"ex-trump education secretary betsy devos, who last year said the department she once led 'should not exist,' maxes out political contributions to michigan gop senate candidate mike rogers",Business Insider
how to watch jack catterall vs. jorge linares live stream,Digital Trends
how to watch alexis rocha vs. giovani santillan live stream,Digital Trends
what time is logan paul vs dillon danis today? full schedule,Digital Trends
"tom brady 'adored' sam bankman-fried despite them being the 'class nerd and the quarterback,' says author michael lewis",Business Insider
"trump endorses jim jordan for house speaker, testing the strength of his power",Business Insider
rep. jim jordan again facing scrutiny for osu scandal amid house speaker battle,ABC News
"best buy just knocked $1,000 off this huge 98-inch 4k tv",Digital Trends
showtime to shut down sports division,Deadline
isil group claims blast that killed four in afghanistan,Al Jazeera English
"simone biles wins 6th worlds title, becomes most decorated gymnast in history",ABC News
megan rapinoe plays her last regular season home game in seattle,NPR
ioc suspends russian olympic committee over sport bodies in ukraine,Al Jazeera English
how is cricket played? a simple illustrated guide,Al Jazeera English
"this birdbike ebike is a great buy during our version of prime day, now under $900!",Boing Boing
the best october prime day sony tv deals you can shop now,Digital Trends
3 dramas on prime video you need to watch in october,Digital Trends
"after starfield’s shaky launch, it’s going to beta test the next patch soon",The Verge
the us has failed to pass ai regulation. new york city is stepping up,Wired
top strategies of lead generation for technology companies,ReadWrite
"from android to windows, snapdragon seamless brings your devices together",Android Central
honor says its new phone lets you open apps with your eyes,The Verge
nasa’s psyche mission is off to test a space laser (for communications),Wired
"q&a: white house ai advisor says us is 'catching up' to the tech, as biden's new executive order demands transparency for the world's biggest ai models",Business Insider
"a quick explainer on silicon valley's newest, controversial philosophy",Business Insider
the chatbots are now talking to each other,Wired
biden plans to step up government oversight of ai with new 'pressure tests',NPR
lawsuit: false arrest due to misuse of facial recognition technology,ABC News
china rolls out plan to boost computing power infrastructure,ReadWrite
sony ai proposes new solution to address computer vision bias against yellow skin,ReadWrite
13 new bitcoin casinos to join in 2023,ReadWrite
designer spacesuits: axiom space partners with prada for upcoming lunar mission fits,Gizmodo.com
more rumors point to a premium galaxy watch 'ultra' with a microled display,Android Central
toyota reveals butt plug that will improve range of electric vehicles,Boing Boing
graphcore was the uk's ai champion—now it’s scrambling to stay afloat,Wired
some walmart employees say customers are getting hostile at self-checkout — and they blame anti-theft tech,Business Insider
meta wants threads to be the ‘de facto platform’ for online public conversations,The Verge
using augmented reality to level up your e-commerce business,ReadWrite
these skills could earn you more money and help futureproof your career,Business Insider
"nasa tests 3d-printed rocket nozzle for future missions to moon, mars",Gizmodo.com
senate votes 98-0 to confirm biden's nominee to run the faa,NPR
sonus faber’s duetto are the first wireless speakers to use uwb,Digital Trends
marc andreessen is getting raked over the coals for calling social responsibility the 'enemy',Business Insider
autonomous ship startup saronic sails to $55m series a,ReadWrite
the ai 100 2023: the top people in artificial intelligence,Business Insider
omnicom acquires flywheel digital for e-commerce growth,ReadWrite
"teleport ride: no other e-bike comes close in range, power, and speed [sponsored]",Digital Trends
ai is 2023's word of the year,Business Insider
"the best black friday smartwatch deals (so far) — discounted garmin, samsung, fitbit, and more",Android Central
flux 7 tws earbuds are available for less thanks to deal days,Boing Boing
this ai-powered gimbal never misses a picture-perfect selfie,Boing Boing
maybe yaccarino won't be sitting next to musk for that much longer,Boing Boing
bubble of toxic coolant abruptly ends russian iss spacewalk,Gizmodo.com
parity technologies shifts focus to polkadot development,ReadWrite
samsung battles sk hynix in memory chip market,ReadWrite
silicon valley has an ai boom invigorating global investments,ReadWrite
qualcomm overcoming challenges for growth,ReadWrite
fortune 500’s race for generative ai breakthroughs,ReadWrite
augmented reality for industries and its benefits,ReadWrite
the fugees' pras michél says his lawyers' use of ai sent him to prison,Gizmodo.com
founders fund backed jennifer campbell's startup before she sold it to coinbase for millions. now she's looking to 'harpoon' a startup 'whale' as the firm's newest partner.,Business Insider
unlocking ai consciousness: ethical dilemmas ahead,ReadWrite
uk's sweeping digital censorship bill becomes law,Boing Boing
"hamas fooled israel's advanced surveillance by doing all of its planning offline, retired us general says",Business Insider
openai's 'unreasonable claims' exhaust ai-ethics researchers,Business Insider
will ai become the lawyer’s ultimate ally? a look ahead to the future of ai in law,ReadWrite
president biden will sign an executive order on ai safeguards,Time
"we didn't think chatgpt was very good when we released it, openai's chief scientist says",Business Insider
airbnb says it's using ai to weed out guests who throw house parties,Business Insider
mark zuckerberg agreed it could be possible to use the metaverse to bring back the dead virtually,Business Insider
most effective ways to enhance your business with ai,ReadWrite
revolutionizing cloud consulting: the power of ai-based services,ReadWrite
85 year old named italy’s ai chief despite lack of it expertise,ReadWrite
brain-computer interface volunteers wanted. is the potential help worth it?,ReadWrite
spacex and t-mobile join forces to bring direct-to-cell text messaging services,ReadWrite
israeli crypto and web3 communities unite to provide humanitarian aid,ReadWrite
"apple's been relatively quiet about ai — but it's been pouring billions into research, and that could mean a 'smarter' siri",Business Insider
darpa’s a bit concerned about tactical-puking attacks,Gizmodo.com
plasma technology transforms microalgae coating for wounds,Phys.Org
raising capital for your startup through a reg a or cf offering,ReadWrite
us-china ‘chip war’ impacts sensetime’s diversification plans,ReadWrite
us export controls challenge chinese tech giants’ ai goals,ReadWrite
"i got lonely working remotely, so i chose to go back to the office. being away from my coworkers really took a toll.",Business Insider
the us is updating its nuclear arsenal amid growing security fears,Business Insider
i quit my sales job to live in my toyota camry. the simpler life has helped me find happiness.,Business Insider
us travelers describe chaotic scenes inside israel's 'completely mobbed' ben gurion airport amid war with gaza,Business Insider
no reception club getaway bag review (2023): perfect bag for family day trips,Wired
white house nominee to lead the faa glides through a senate committee vote,NPR
the rise of nomadic work: embracing coworking while traveling,ReadWrite
"russians, iranians, and chinese spark security fears after taking $100,000 shortcut for citizenship in a caribbean paradise",Business Insider
"microsoft surface laptop go 3 review: higher price, fewer incentives",Wired
lowest price on the web! this aquasonic toothbrush is $25 with free shipping,Boing Boing
trump weasels out of an iowa stop with an obvious lie — and it's mocked by biden truth social post (video),Boing Boing
how to fast travel in spider-man 2,Digital Trends
'no one is safe': bed bugs invade paris ahead of olympics,Gizmodo.com
halloween is the perfect time to play these spooky meta quest games,Android Central
french authorities say school where teacher fatally stabbed evacuated over bomb alert,ABC News
"if you love cheap airfare, don't sleep on dollar flight club — it can save you hundreds on flights!",Boing Boing
"you're going to want this $50 esim card on your next trip abroad, and it's less than $20!",Boing Boing
"maga's nancy mace wears a scarlet letter ""a"" on her chest, as in … ashamed? (video)",Boing Boing
hands-on: microsoft surface laptop go 3,Gizmodo.com
take better care of your pearly whites with this aquasonic toothbrush and it's only $24.97 for our deal days event,Boing Boing
what is the rafah crossing and why is it gaza's lifeline?,BBC News
nasa's hubble spots a mysterious flash in the middle of nowhere that defies science,Business Insider
albert einstein used to ponder these 5 mind-melting questions for fun. can you figure them out?,Business Insider
an overdue reunion became a nightmare for this american family now trapped in gaza,NPR
us passport processing times reduced after record-breaking number of issuances,ABC News
traveling alone on a cruise could double the cost of your vacation — but this could soon change,Business Insider
desantis spent $1.5m on private flights while his campaign struggles for money,Boing Boing
reporting on gaza: 'sometimes from behind the camera i just stand and cry',BBC News
a ‘widespread’ bedbug outbreak is taking over paris during fashion week,Time
this 3-in-1 usb-c charging cable eliminates the hassle of multiple cords and it's only $18.99,Boing Boing
canadian workers reach deal to end strike that shut down great lakes shipping artery,NPR
albatrosses listen to the sea to navigate the sky,Boing Boing
"in gaza, wounded children with no surviving family",BBC News
google’s enhanced autocomplete precision boosts chrome experience,ReadWrite
spoil your pets with this automated feeder while it's on sale for only $99.99!,Boing Boing
"surprise that special someone for the holidays with a 4k hd drone, now under $70!",Boing Boing
"say goodbye to keys and passwords when you get the mini smart fingerprint padlock, now only $25",Boing Boing
student sentenced to 1 year in dubai prison over airport altercation freed: group,ABC News
abercrombie & fitch launches investigation into ex-ceo sexual misconduct claims,BBC News
it seems gen z is just fine with parents knowing where they are all the time,Business Insider
"a marine general collapsed after complaining of unsustainable work, as tommy tuberville blocks new military appointments",Business Insider
"why was arkansas governor sarah huckabee sanders' fancy $19,000 lectern put on a government credit card?",Boing Boing
track the carbon footprint of jet-set celebrities like elon musk and kim kardashian,Boing Boing
simulations of 'backwards time travel' can improve scientific experiments,Phys.Org
2 americans taken hostage by hamas during the attack on israel are freed,NPR
an off-duty alaska airlines pilot accused of trying to turn off the plane's engines during a flight is now facing dozens of attempted murder charges,Business Insider
"a new bill in congress could wipe out the credit card rewards programs americans rely on for their vacations, southwest says",Business Insider
armenian pm nikol pashinyan confirms attendance at eu talks in spain,Al Jazeera English
americans are planning to spend way more on holiday shopping this year,Business Insider
"an american lgbtq+ activist who fled israel during hamas attacks says she never imagined feeling safer in dubai, where being gay is a crime",Business Insider
"united airlines to prioritize window seat boarding, speeds up process by 2 minutes",ABC News
prosecutor refiles case accusing missouri woman accused of killing her friend,ABC News
russia’s putin makes rare visit to kyrgyzstan despite icc arrest warrant,Al Jazeera English
the hottest costume this halloween? the all-american couple,Time
"at least 10 migrants killed, 25 injured in mexico truck accident",Al Jazeera English
robert de niro takes stand to deny ex-assistant's gender discrimination claim,BBC News
oregon ducks vs. utah utes live stream: watch college football for free,Digital Trends
u.s. clears israel in gaza hospital strike as biden visits,ReadWrite
"exclusive: on track to break record, tsa intercepts nearly 20 guns per day",ABC News
"saturday citations: gravitational waves, time travel and the simulated universe hypothesis",Phys.Org
"""everything has a history"" explores parker brothers' 1971 toy, the ""johnny horizon environmental test kit""",Boing Boing
osiris-rex flies on as osiris-apex to explore its second asteroid,Phys.Org
us secretary of state antony blinken set to travel to israel and jordan,Al Jazeera English
"beyond the holidome: remembering holiday inn's humid, moldy, fabulous indoor mini-resorts",Boing Boing
elon musk appears to have given up on trying to camouflage his private-jet travels with an faa program used by jeff bezos and taylor swift,Business Insider
how to watch nasa’s psyche mission launch to a metal asteroid this week,Digital Trends
"louisiana and amtrak agree to revive train service between new orleans, baton rouge",ABC News
nasa releases ‘ghostly cosmic hand’ image for halloween,Digital Trends
the quest 3’s mixed reality isn’t just the gimmick you think it is,Android Central
it's about time the quest got some good vr stealth games,Android Central
"i tried out chatgpt's new image feature, which can create recipes from ingredient photos, write code from whiteboards, and identify objects. here's how it went.",Business Insider
this san francisco bay area museum stinks,Boing Boing
12 days of hummus heaven!,Boing Boing
this amazing concept phone from motorola just made my jaw drop,Digital Trends
mukbang influencer marketing and consumer engagement with food brands,Phys.Org
"on world egg day, satiate your hunger cravings with these exciting recipes",The Indian Express
"less snacking, more satisfaction: some foods boost levels of an ozempic-like hormone",NPR
how useful is it to experiment traditional spices with exotic food ingredients?,The Indian Express
"happy durga puja 2023: wishes, images, quotes, status, messages, photos, wallpapers and greetings",The Indian Express
her son’s allergies inspired mad about sucre's lena chan to create award-winning allergen-free pastries,CNA
cooking with love: recipe book honors mexico's missing,International Business Times
can an all-purpose gravy base be stored for more than a week?,The Indian Express
"crypto exchanges, not just ftx, are all a mess right now",Gizmodo.com
"us officials say they're worried a chinese-owned bitcoin mine in wyoming will pose a national security threat, nyt reports",Business Insider
unveiling the best cryptocurrency interoperability solutions in 2023,ReadWrite
maga snake eating its tail: gop reps in trouble regardless of how they voted on the speaker debacle,Boing Boing
sbf's attorney tried to blame the ftx collapse on the turbulence of cryptocurrency in general,Business Insider
get lifetime access to rosetta stone along with hundreds of online courses for only $159.97!,Boing Boing
"for days sam bankman-fried, the mit grad who founded ftx, repeatedly told a jury he couldn't remember actions from his time as ceo",Business Insider
bitcoin prices have rallied over 20% in october as etf anticipation fueled gains,Forbes
"imminent $3 trillion ‘watershed moment’—300% crypto price shock could be about to blow up bitcoin, ethereum and xrp",Forbes
ftx thief cashes out millions during bankman-fried trial,BBC News
pro-bitcoin congressman patrick mchenry may provide the final push to unlock growing pressures to greenlight a spot bitcoin etf,Forbes
"buy ‘gold and bitcoin’: ‘cataclysmic’ u.s. dollar crisis triggers serious recession warning that could cause ethereum, xrp and crypto price chaos",Forbes
europe’s largest bitcoin conference: insights and highlights,Forbes
